,phrase,label,sentiment,subjectivity,language,count
Deutschland,Deutschland,LOC,0.09444444444444444,0.10380116959064328,de,114
Europa,Europa,LOC,-0.07373737373737371,0.23737373737373738,de,33
Ukraine,Ukraine,LOC,-0.11634615384615382,0.0,de,26
Berlin,Berlin,LOC,0.05434782608695652,0.0,de,23
Deutschlands,Deutschlands,LOC,-0.02301587301587302,0.18253968253968256,de,21
Russland,Russland,LOC,0.027777777777777776,0.19444444444444445,de,18
Frankreich,Frankreich,LOC,-0.19666666666666668,0.11666666666666665,de,10
Düsseldorf,Düsseldorf,LOC,0.14285714285714285,0.0,de,7
Österreich,Österreich,LOC,0.18571428571428572,0.0,de,7
Europas,Europas,LOC,0.09999999999999999,0.047619047619047616,de,7
Winter.,Winter.,LOC,0.08571428571428573,0.14285714285714285,de,7
Winterthur,Winterthur,LOC,0.0,0.16666666666666666,de,6
Thüringen,Thüringen,LOC,0.0,0.0,de,6
Alpen,Alpen,LOC,-0.5,0.0,de,6
Paris,Paris,LOC,0.6199999999999999,0.0,de,5
Bund,Bund,LOC,-0.41999999999999993,0.0,de,5
Russlands,Russlands,LOC,0.0,0.0,de,5
Staaten,Staaten,LOC,-0.16,0.1,de,5
Stromausfällen,Stromausfällen,LOC,-0.37666666666666665,0.0,de,5
Stadt,Stadt,LOC,0.2,0.0,de,5
Schweiz,Schweiz,LOC,-0.025000000000000022,0.0,de,5
Hamburg,Hamburg,LOC,0.35,0.0,de,4
USA,USA,LOC,0.2333333333333333,0.0,de,3
CERN,CERN,LOC,0.16666666666666666,0.5,de,3
der Schweiz,der Schweiz,LOC,-0.16666666666666666,0.16666666666666666,de,3
Enercity,Enercity,LOC,0.0,1.0,de,3
Potsdam,Potsdam,LOC,0.0,1.0,de,3
Freiburg,Freiburg,LOC,-1.0,0.0,de,3
Kreml,Kreml,LOC,-0.2333333333333333,0.0,de,3
Energiespardebatten,Energiespardebatten,LOC,-0.10000000000000002,0.0,de,3
Aldi,Aldi,LOC,0.2333333333333333,0.3333333333333333,de,3
Spanien,Spanien,LOC,0.2333333333333333,0.0,de,3
Österreichs,Österreichs,LOC,0.3333333333333333,0.0,de,3
Klimaökonom Edenhofer,Klimaökonom Edenhofer,LOC,0.0,0.0,de,3
Landkreis Ebersberg,Landkreis Ebersberg,LOC,0.0,0.6666666666666666,de,3
Wilhelmshaven,Wilhelmshaven,LOC,0.0,0.0,de,3
Arosa,Arosa,LOC,0.0,0.0,de,3
Halle,Halle,LOC,0.0,0.3333333333333333,de,3
den USA,den USA,LOC,0.0,0.0,de,3
Gladbach,Gladbach,LOC,0.0,0.0,de,3
Moldawien,Moldawien,LOC,0.2333333333333333,0.0,de,3
Deutschland.,Deutschland.,LOC,0.6666666666666666,0.0,de,3
Bayern,Bayern,LOC,-0.3333333333333333,0.0,de,3
Italien,Italien,LOC,0.5666666666666667,0.0,de,3
Brandenburger Straße,Brandenburger Straße,LOC,0.0,0.3333333333333333,de,3
Energieinfrastuktur,Energieinfrastuktur,LOC,0.0,0.0,de,2
Blackouts,Blackouts,LOC,-0.5166666666666666,0.0,de,2
Gases,Gases,LOC,0.0,0.0,de,2
Verkehrsministerium,Verkehrsministerium,LOC,0.0,0.0,de,2
Kiew,Kiew,LOC,-0.5,0.0,de,2
Mitteldeutschland,Mitteldeutschland,LOC,0.0,0.0,de,2
Sachsens,Sachsens,LOC,0.0,0.0,de,2
Trockenzeiten,Trockenzeiten,LOC,0.0,0.0,de,2
EU-Gipfel,EU-Gipfel,LOC,0.0,0.0,de,2
Ukraine-Kriegs,Ukraine-Kriegs,LOC,0.0,0.0,de,2
Frankreichs,Frankreichs,LOC,0.0,0.0,de,2
Sölden,Sölden,LOC,0.0,0.0,de,2
Hörnli,Hörnli,LOC,-0.35,0.0,de,2
städtischen  Schwimmhallen,städtischen  Schwimmhallen,LOC,0.0,0.0,de,2
Braunkohlekraftwerk Jänschwalde,Braunkohlekraftwerk Jänschwalde,LOC,0.0,0.0,de,2
Heringen,Heringen,LOC,0.0,0.0,de,2
Hessen,Hessen,LOC,0.0,0.0,de,2
Werra,Werra,LOC,0.0,0.0,de,2
Brandenburg,Brandenburg,LOC,-0.85,0.0,de,2
Finanzminister,Finanzminister,LOC,-0.425,0.0,de,2
Alpenhauptkammes,Alpenhauptkammes,LOC,-0.7,0.0,de,2
