,phrase,label,sentiment,subjectivity,language,count
…,…,MISC,1.2,1.5,de,16
"Some of the information stored on your device,","Some of the information stored on your device,",MISC,,,de,11
deutschen,deutschen,MISC,,,de,10
russischen,russischen,MISC,,,de,8
"nan When browsing with ads:
We collect personal data and also transmit it to third-party providers
 that help us improve and finance our digital content.","nan When browsing with ads:
We collect personal data and also transmit it to third-party providers
 that help us improve and finance our digital content.",MISC,,,de,6
russische,russische,MISC,,,de,6
Winter.,Winter.,MISC,0.9,0.0,de,4
Deutschen,Deutschen,MISC,,,de,4
Gaskrise,Gaskrise,MISC,,,de,3
Bundesnetzagentur.,Bundesnetzagentur.,MISC,,,de,3
De'Longhi,De'Longhi,MISC,,,de,3
soziale,soziale,MISC,,,de,3
Aufruf,Aufruf,MISC,,,de,3
russischem,russischem,MISC,,,de,3
Zeit,Zeit,MISC,,,de,3
griechische,griechische,MISC,,,de,2
Diesen Winter,Diesen Winter,MISC,,,de,2
The Weather Channel,The Weather Channel,MISC,,,de,2
Papierpreis,Papierpreis,MISC,,,de,2
ukrainische,ukrainische,MISC,,,de,2
Linke-Politiker,Linke-Politiker,MISC,,,de,2
Mehr Ehrgeiz beim Energiesparen?,Mehr Ehrgeiz beim Energiesparen?,MISC,,,de,2
Weihnachten: Heizen,Weihnachten: Heizen,MISC,,,de,2
Wintershall-Dea-Chef,Wintershall-Dea-Chef,MISC,,,de,2
Speicherbetreiber.,Speicherbetreiber.,MISC,,,de,2
europäische,europäische,MISC,,,de,2
Krisen?,Krisen?,MISC,,,de,2
"When browsing with ads:
We collect personal data and also transmit it to third-party providers
 that help us improve and finance our digital content.","When browsing with ads:
We collect personal data and also transmit it to third-party providers
 that help us improve and finance our digital content.",MISC,,,de,2
We…,We…,MISC,,,de,1
spanischen,spanischen,MISC,,,de,1
… ...,… ...,MISC,,,de,1
Der Winter,Der Winter,MISC,,,de,1
S…,S…,MISC,,,de,1
russische Krieg,russische Krieg,MISC,,,de,1
Fallende Erdgaspreise,Fallende Erdgaspreise,MISC,,,de,1
O bis O,O bis O,MISC,,,de,1
"nan When browsing with ads:
","nan When browsing with ads:
",MISC,,,de,1
Gaspreis-Kommission.,Gaspreis-Kommission.,MISC,,,de,1
französische,französische,MISC,,,de,1
EU-Plan,EU-Plan,MISC,,,de,1
Teilnehmern,Teilnehmern,MISC,,,de,1
Jahr um Jahr,Jahr um Jahr,MISC,,,de,1
Rekord-Monat,Rekord-Monat,MISC,,,de,1
T-Shirt,T-Shirt,MISC,,,de,1
Russen,Russen,MISC,,,de,1
Wintershall Dea,Wintershall Dea,MISC,0.0,0.0,de,1
Ukraine-Krieges.,Ukraine-Krieges.,MISC,,,de,1
Winter?,Winter?,MISC,0.0,0.0,de,1
Holzklau.,Holzklau.,MISC,,,de,1
Können Waldb…,Können Waldb…,MISC,,,de,1
Mildes Wetter,Mildes Wetter,MISC,,,de,1
ePaper,ePaper,MISC,,,de,1
Gaspreis-Kommission: Ein Quantum,Gaspreis-Kommission: Ein Quantum,MISC,,,de,1
Europa.,Europa.,MISC,,,de,1
Ukrainekrieges,Ukrainekrieges,MISC,,,de,1
"WEB.DE News
</li><li>","WEB.DE News
</li><li>",MISC,,,de,1
Ukraine-Krieg,Ukraine-Krieg,MISC,,,de,1
Die Schneewurst kommt!,Die Schneewurst kommt!,MISC,,,de,1
deutsche,deutsche,MISC,,,de,1
|,|,MISC,,,de,1
Ihr wollt mit Holz,Ihr wollt mit Holz,MISC,,,de,1
Kamin.,Kamin.,MISC,,,de,1
Deuts…,Deuts…,MISC,,,de,1
Wochenende.,Wochenende.,MISC,,,de,1
Vorüber…,Vorüber…,MISC,,,de,1
PLUS-Inhalten,PLUS-Inhalten,MISC,,,de,1
"Print-Magazin
werbefrei &amp;","Print-Magazin
werbefrei &amp;",MISC,,,de,1
Ukrainekrieg,Ukrainekrieg,MISC,,,de,1
Speicherbetreiber:,Speicherbetreiber:,MISC,,,de,1
russisches,russisches,MISC,,,de,1
Regional,Regional,MISC,,,de,1
russischen Angriffskrieges,russischen Angriffskrieges,MISC,,,de,1
Gasprom,Gasprom,MISC,,,de,1
Staatsp…,Staatsp…,MISC,,,de,1
Blackout-Ausrüstung,Blackout-Ausrüstung,MISC,,,de,1
Droht uns,Droht uns,MISC,,,de,1
Energiepreis-Wahnsinn.,Energiepreis-Wahnsinn.,MISC,,,de,1
No German will freeze,No German will freeze,MISC,,,de,1
Greece,Greece,MISC,,,de,1
Covid-Infektionsgeschehen,Covid-Infektionsgeschehen,MISC,,,de,1
Joko &amp,Joko &amp,MISC,,,de,1
plepeO Vlulel,plepeO Vlulel,MISC,,,de,1
Jahresbeginn?,Jahresbeginn?,MISC,,,de,1
Zu warm und zu,Zu warm und zu,MISC,,,de,1
Wetter App,Wetter App,MISC,,,de,1
Regen Radar,Regen Radar,MISC,,,de,1
