,phrase,label,sentiment,subjectivity,language,count
EU,EU,ORG,-0.030000000000000006,0.0,de,10
Uniper,Uniper,ORG,-0.41,0.1,de,5
Gewerkschaften,Gewerkschaften,ORG,-0.4,0.0,de,5
FOCUS,FOCUS,ORG,-0.13999999999999999,0.0,de,5
Bundesnetzagentur,Bundesnetzagentur,ORG,0.0,0.0,de,4
Bundesamtes für Bevölkerungsschutz und Katastrophenhilfe,Bundesamtes für Bevölkerungsschutz und Katastrophenhilfe,ORG,-0.6999999999999998,0.0,de,3
Bundesbank,Bundesbank,ORG,0.0,0.0,de,3
EU-Kommission,EU-Kommission,ORG,0.0,0.0,de,3
"AfD trommeln zum ""heißen Herbst""","AfD trommeln zum ""heißen Herbst""",ORG,0.0,0.0,de,2
WELT,WELT,ORG,0.0,0.0,de,2
Suntec,Suntec,ORG,0.0,0.0,de,2
SPD,SPD,ORG,-1.0,0.0,de,2
Rewe,Rewe,ORG,0.0,0.0,de,2
Weltgesundheitsorganisation,Weltgesundheitsorganisation,ORG,0.0,0.0,de,2
Linke,Linke,ORG,0.0,0.0,de,2
DER SPIEGEL.,DER SPIEGEL.,ORG,0.0,0.0,de,2
DESY,DESY,ORG,0.25,0.5,de,2
Eon,Eon,ORG,-0.5,0.0,de,2
Wintershall Dea,Wintershall Dea,ORG,0.7,0.0,de,2
Erdgas-Händler,Erdgas-Händler,ORG,0.35,0.0,de,2
Europäischen Küsten,Europäischen Küsten,ORG,0.7,0.0,de,2
Ukraine.,Ukraine.,ORG,0.0,0.0,de,2
Berliner Morgenpost,Berliner Morgenpost,ORG,0.0,0.0,de-DE,2
Media Markt,Media Markt,ORG,0.0,0.0,de,2
Internationale Energieagentur,Internationale Energieagentur,ORG,0.0,0.0,de,2
Organisatoren,Organisatoren,ORG,-0.5,0.0,de,2
Expertenkommission der Bundesregierung,Expertenkommission der Bundesregierung,ORG,0.7,0.0,de,2
die Linke,die Linke,ORG,-0.7,0.0,de,2
Grüne,Grüne,ORG,0.5,0.0,de,2
Initiative Energien Speichern e.,Initiative Energien Speichern e.,ORG,0.0,0.0,de,2
Wetterjahres.,Wetterjahres.,ORG,0.7,0.0,de,2
Joint Venture,Joint Venture,ORG,0.7,0.0,de,1
BWIHK-Präsident,BWIHK-Präsident,ORG,0.0,0.0,de,1
AKW,AKW,ORG,0.0,0.0,de,1
Wintershall-Chef: Mehren: Gasversorgung,Wintershall-Chef: Mehren: Gasversorgung,ORG,0.0,0.0,de,1
Verband: Ohne Extremkälte,Verband: Ohne Extremkälte,ORG,1.0,0.0,de,1
LNG-Lieferungen.​,LNG-Lieferungen.​,ORG,0.7,0.0,de,1
Wisla:,Wisla:,ORG,0.0,0.0,de,1
BWIHK-Präsident für rasche Soforthilfen für Unternehmen.,BWIHK-Präsident für rasche Soforthilfen für Unternehmen.,ORG,0.0,0.0,de,1
ple Vhlelue,ple Vhlelue,ORG,0.0,0.0,de,1
Verband der deutschen Gasspeicherbetreiber,Verband der deutschen Gasspeicherbetreiber,ORG,0.0,0.0,de,1
Bundesamt für Katastrophenschutz,Bundesamt für Katastrophenschutz,ORG,-0.7,0.0,de,1
IEA,IEA,ORG,-0.7,0.0,de,1
EU-Ebene,EU-Ebene,ORG,0.0,0.0,de,1
Foto: Getty Images,Foto: Getty Images,ORG,0.0,0.0,de,1
Südeuropäer,Südeuropäer,ORG,0.0,0.0,de,1
Klimakrise:,Klimakrise:,ORG,0.0,0.0,de,1
russische Luftwaffe,russische Luftwaffe,ORG,0.7,0.0,de,1
Gasprom,Gasprom,ORG,-1.0,0.0,de,1
HIER,HIER,ORG,0.0,0.0,de,1
WHO,WHO,ORG,0.0,0.0,de,1
KURZMELDUNGEN,KURZMELDUNGEN,ORG,0.0,0.0,de,1
NZZ,NZZ,ORG,0.0,0.0,de,1
"Schweiz, International, Sport, Digital, Wirtschaft, Auto &","Schweiz, International, Sport, Digital, Wirtschaft, Auto &",ORG,0.0,0.0,de,1
Simulationsforscher: Jetzt,Simulationsforscher: Jetzt,ORG,0.0,0.0,de,1
Ukraine,Ukraine,ORG,-1.0,0.0,de,1
E-Paper,E-Paper,ORG,0.7,0.0,de,1
SPIEGEL,SPIEGEL,ORG,0.7,0.0,de,1
Kärntens Tourismusbetriebe bli…,Kärntens Tourismusbetriebe bli…,ORG,0.0,0.0,de,1
ple Pnluleu,ple Pnluleu,ORG,0.0,0.0,de,1
Winter″,Winter″,ORG,0.0,0.0,de,1
CDU,CDU,ORG,1.0,0.0,de,1
Wirtschaft bekâ€¦,Wirtschaft bekâ€¦,ORG,0.0,0.0,de,1
Foto:,Foto:,ORG,0.7,0.0,de,1
russische Armee,russische Armee,ORG,0.0,0.0,de,1
Militär,Militär,ORG,0.7,0.0,de,1
Kü…,Kü…,ORG,0.7,0.0,de,1
Deutschen für diesen Winter.,Deutschen für diesen Winter.,ORG,0.5,0.0,de,1
Energiekrise: Schäubles,Energiekrise: Schäubles,ORG,-0.7,0.0,de,1
Europäischen Union,Europäischen Union,ORG,0.0,0.0,de,1
wÃ¤chst,wÃ¤chst,ORG,0.0,0.0,de,1
Gesellschaft: Linkes Bündnis,Gesellschaft: Linkes Bündnis,ORG,0.0,0.0,de,1
Hamburger Otto-Gruppe,Hamburger Otto-Gruppe,ORG,0.7,0.0,de,1
Uniper.,Uniper.,ORG,-0.7,0.0,de,1
LNG,LNG,ORG,0.0,0.0,de,1
ZEIT ONLINE.,ZEIT ONLINE.,ORG,0.0,0.0,de,1
Evangelische Kirche,Evangelische Kirche,ORG,0.0,0.0,de,1
"Glosse

 nan","Glosse

 nan",ORG,0.0,0.0,de,1
RT DE.,RT DE.,ORG,0.0,0.0,de,1
ÖAMTC,ÖAMTC,ORG,-1.0,0.0,de,1
"Bild: Wassilis Aswestopoulos
Angesichts","Bild: Wassilis Aswestopoulos
Angesichts",ORG,0.7,0.0,de,1
Flüchtlingskrise,Flüchtlingskrise,ORG,0.0,0.0,de,1
Konjunktur: â€�Wirtschaft,Konjunktur: â€�Wirtschaft,ORG,0.0,0.0,de,1
Wartungs- und Reparat…,Wartungs- und Reparat…,ORG,0.0,0.0,de,1
Experten-Einschätzung,Experten-Einschätzung,ORG,0.0,0.0,de,1
"Aktion ""Mehrwertsteuer","Aktion ""Mehrwertsteuer",ORG,0.0,0.0,de,1
Instagram-Accounts,Instagram-Accounts,ORG,0.0,0.0,de,1
Joko & Klaas,Joko & Klaas,ORG,0.0,0.0,de,1
Deutsche Um…,Deutsche Um…,ORG,0.0,0.0,de,1
"Bundesbank, die","Bundesbank, die",ORG,0.0,0.0,de,1
Bundesliga: Mainz 05,Bundesliga: Mainz 05,ORG,0.0,0.0,de,1
Amazon,Amazon,ORG,0.0,0.0,de,1
Terminkontrakts TTF,Terminkontrakts TTF,ORG,0.0,0.0,de,1
… Berlin,… Berlin,ORG,0.7,0.0,de,1
UNHCR,UNHCR,ORG,0.425,0.0,de,1
UNO-Flüchtlingshilfswerk,UNO-Flüchtlingshilfswerk,ORG,0.425,0.0,de,1
To…,To…,ORG,0.6999999999999998,0.0,de,1
Die Grünen,Die Grünen,ORG,0.6999999999999998,0.0,de,1
Discounter-Riese Aldi Nord,Discounter-Riese Aldi Nord,ORG,0.0,0.0,de,1
E-Control,E-Control,ORG,0.0,0.0,de,1
