,phrase,label,sentiment,subjectivity,language,count
…,…,PER,0.025625,0.0625,de,40
Wolfgang Schäuble,Wolfgang Schäuble,PER,0.3277777777777778,0.0,de,9
Putins,Putins,PER,-0.16458333333333336,0.0,de,8
Scholz,Scholz,PER,0.175,0.0,de,8
Freier,Freier,PER,0.7000000000000001,0.0,de,7
Olaf Scholz,Olaf Scholz,PER,0.0,0.16666666666666666,de,6
Kommt,Kommt,PER,0.0,0.0,de,5
Wintershall Dea,Wintershall Dea,PER,0.6,0.0,de,5
Fake-Flyer,Fake-Flyer,PER,0.0,0.0,de,4
Mario Mehren,Mario Mehren,PER,0.20416666666666666,0.4583333333333333,de,4
Energiesparen,Energiesparen,PER,0.0,0.0,de,4
Gaskrise,Gaskrise,PER,-0.5,0.0,de,4
Aldi,Aldi,PER,1.0,0.0,de,4
Melnyk,Melnyk,PER,0.0,0.0,de,3
Missverständliche,Missverständliche,PER,0.0,0.0,de,3
Todesopfer,Todesopfer,PER,0.0,0.0,de,3
BILDplus,BILDplus,PER,0.2333333333333333,0.0,de,3
Liftbetreiber,Liftbetreiber,PER,0.0,0.0,de,3
Putin,Putin,PER,-0.5166666666666666,0.0,de,3
Kräftiges,Kräftiges,PER,0.6999999999999998,0.0,de,3
aktuellDie,aktuellDie,PER,0.0,0.0,de,3
Björn Alexander.,Björn Alexander.,PER,0.0,0.0,de,3
Wirtschaftsminister Habeck,Wirtschaftsminister Habeck,PER,-0.1333333333333333,0.0,de,3
Lindner,Lindner,PER,0.0,0.0,de,2
Carl von Clausewitz,Carl von Clausewitz,PER,0.5,0.0,de,2
Winfried Kretschmann,Winfried Kretschmann,PER,1.0,0.0,de,2
Swen Hubrich,Swen Hubrich,PER,0.0,0.0,de,2
Schäuble,Schäuble,PER,-0.85,0.0,de,2
Gaspreisbremse,Gaspreisbremse,PER,-0.35,0.0,de,2
Behördenchef,Behördenchef,PER,-0.7,0.0,de,2
V.,V.,PER,0.0,0.0,de,2
Leonore Gewessler.,Leonore Gewessler.,PER,1.0,0.0,de,2
Gasspeicherbetreiber,Gasspeicherbetreiber,PER,0.0,0.0,de,2
Wolfram Günther,Wolfram Günther,PER,0.0,0.0,de,2
Schmidhofer,Schmidhofer,PER,-0.35,0.0,de,2
Herbstes,Herbstes,PER,1.0,0.0,de,2
Gabor Steingart,Gabor Steingart,PER,0.0,0.0,de,2
Wetterinstitute,Wetterinstitute,PER,0.0,0.0,de,2
Kamine,Kamine,PER,0.0,0.0,de,2
Outdoor-Infrarotstrahler von Suntec,Outdoor-Infrarotstrahler von Suntec,PER,0.0,0.0,de,2
"Verstörende Kriegsbilder, die Angst","Verstörende Kriegsbilder, die Angst",PER,-0.875,0.0,de,2
Johan Eliasch,Johan Eliasch,PER,0.0,0.0,de,2
Bundesinnenministerin Faeser,Bundesinnenministerin Faeser,PER,1.0,0.0,de,2
Strom,Strom,PER,-0.35,0.0,de,2
Bodo Ramelow,Bodo Ramelow,PER,0.0,0.0,de,2
Kai Hufendiek,Kai Hufendiek,PER,-0.11666666666666665,0.0,de,2
"Klaus Müller, Bürger","Klaus Müller, Bürger",PER,-0.25,0.25,de,2
Nord-Stream-Pipelines,Nord-Stream-Pipelines,PER,0.0,1.0,de,2
Netzagentur-Chef Müller,Netzagentur-Chef Müller,PER,0.25,0.0,de,2
Hause,Hause,PER,0.0,0.5,de,2
Ben Zolinski,Ben Zolinski,PER,0.0,0.0,de,2
Sarah Werner,Sarah Werner,PER,0.7,0.0,de,2
Günther Zangerl,Günther Zangerl,PER,0.0,0.0,de,2
Hubert Aiwanger,Hubert Aiwanger,PER,1.0,0.0,de,2
"Ute Reinhardt,","Ute Reinhardt,",PER,-0.07500000000000001,0.0,de,2
Ottmar Edenhofer,Ottmar Edenhofer,PER,0.0,0.0,de,2
André Birner,André Birner,PER,0.0,0.0,de,2
Eric Njuguna,Eric Njuguna,PER,-1.0,0.0,de,2
Just Eat Takeaway,Just Eat Takeaway,PER,0.0,0.0,de,2
Michael Vassiliadis,Michael Vassiliadis,PER,0.0,0.0,de,2
Explodierende,Explodierende,PER,-1.0,0.0,de,2
Kollaps-Risiko.,Kollaps-Risiko.,PER,0.0,0.0,de,1
Pardo,Pardo,PER,0.0,0.0,de,1
Linda Teuteberg.,Linda Teuteberg.,PER,0.0,0.0,de,1
Tages: Sind,Tages: Sind,PER,0.0,0.0,de,1
warn…,warn…,PER,0.0,0.0,de,1
R. Barth,R. Barth,PER,0.0,0.0,de,1
Rosenkohl,Rosenkohl,PER,0.0,0.0,de,1
Celsius,Celsius,PER,0.7,0.0,de,1
Coronapandemie,Coronapandemie,PER,0.0,1.0,de,1
V. Golod.</em>,V. Golod.</em>,PER,0.0,0.0,de,1
Winterthur.,Winterthur.,PER,0.0,1.0,de,1
"Julian Probst,","Julian Probst,",PER,0.7,0.0,de,1
Björn Alexander,Björn Alexander,PER,1.0,0.0,de,1
Oliver Blume,Oliver Blume,PER,0.0,0.0,de,1
Weihnachtsstimmung light,Weihnachtsstimmung light,PER,0.0,0.0,de,1
Katja,Katja,PER,0.0,0.0,de,1
Pia Klaus,Pia Klaus,PER,0.0,0.0,de,1
"Marie Mühlenberg
07.11.2022","Marie Mühlenberg
07.11.2022",PER,0.0,0.0,de,1
Wintershall Dea.,Wintershall Dea.,PER,0.0,0.0,de,1
La Niña,La Niña,PER,0.0,0.0,de,1
Macrons,Macrons,PER,-1.0,0.0,de,1
Andrij Sadovyi,Andrij Sadovyi,PER,-0.07500000000000001,0.4,de,1
Nikolas Popper,Nikolas Popper,PER,1.0,0.0,de,1
Derweil,Derweil,PER,0.0,0.0,de,1
Gerhard M…,Gerhard M…,PER,0.0,0.0,de,1
Winterthurer Bäumen,Winterthurer Bäumen,PER,0.0,0.0,de,1
ellelekeu Blelpplauete,ellelekeu Blelpplauete,PER,-1.0,0.0,de,1
Nicole Schmidhofer,Nicole Schmidhofer,PER,0.0,0.0,de,1
