,summary,Winter,Herbst,Frühling,Sommer,word
summaryOfAllWords,38100.87238959761,24478.192991737113,7181.370682531638,729.4857350024901,5711.822980325589,
Heizkosten,14.488440197452203,0.009220913408154003,0.445713652607241,-1.854140607370326,-1.0163252853587867,Heizkosten
steigen,7.122798042338428,0.22729109448341075,-0.2386367749363395,-1.1440901353613675,-1.345886126306369,steigen
heizkost steig,2.067321288035303,0.05834790575040662,-0.14233854716400599,0.09295679083656214,-0.10883920010843944,heizkost steig
drastisch,3.601437781904194,0.2402395124189082,-0.6974179912531684,-0.46212265325260027,-0.6639186441976019,drastisch
steig drastisch,2.1358293889530655,0.07325729428573047,-0.17493988548353454,0.06035545251703364,-0.14144053842796794,steig drastisch
trotz,6.285284206984604,0.14512648435471132,0.08918396229684104,-1.0190005645667626,-1.2207965555117644,trotz
drastisch trotz,2.2809583567970786,0.10127489686284176,-0.2406805282415086,-0.005385190240940329,-0.20718118118594187,drastisch trotz
milden,10.279174760674637,0.16529250828488667,-0.2898631891610972,-1.5109094842665132,-0.4375307203887948,milden
trotz mild,3.20377020095246,0.11425209475273343,-0.0490283657375615,-0.345117807745524,-0.5469137986905255,trotz mild
Winters,8.069050264089675,0.35720820922309565,-1.5041206297919398,-1.2688252917913718,-1.4706212827363732,Winters
mild winter,11.930154127888756,0.3856007122620068,-1.8951539970413305,-1.6598586590407625,-1.8616546499857638,mild winter
DER,4.755285669854388,0.293191989525685,-0.9753416136362958,-0.7400462756357277,-0.9418422665807292,DER
winter der,6.264326793141018,0.33123762685395125,-1.2509559690306964,-1.0156606310301284,-1.21745662197513,winter der
SPIEGEL,4.789357750791121,0.2943365499103308,-0.9824811628399998,-0.7471858248394316,-0.9489818157844332,SPIEGEL
der spiegel,4.789357750791121,0.2943365499103308,-0.9824811628399998,-0.7471858248394316,-0.9489818157844332,der spiegel
Laut,3.983223739044507,0.094121864204318,0.12438841793246853,-0.5628809797810967,-0.7646769707260982,Laut
spiegel laut,2.146514819705954,0.07547788351643274,-0.17993035444574387,0.055364983554824394,-0.14643100739017717,spiegel laut
neuen,7.591619821822412,-0.1767969122622931,0.6638196301024064,-1.2078344875583773,-0.5118060108337003,neuen
laut neu,2.8033041486185186,0.00709914195893154,0.23459162043126447,-0.21158827820460002,-0.4133842691496015,laut neu
